ACM48730.1	Scaffold04	35.359	181	107	3	853	1023	2950313	2949771	1.90e-36	106
ACM48730.1	Scaffold04	29.412	170	94	4	1062	1231	2949729	2949298	1.90e-36	57.8
ACM48730.1	Scaffold04	38.889	36	22	0	1231	1266	2949235	2949128	1.90e-36	30.8
ACM48730.1	Scaffold04	36.111	180	105	3	812	981	2950310	2949771	1.73e-31	110
ACM48730.1	Scaffold04	23.958	288	150	8	978	1224	2949729	2948950	1.73e-31	47.0
ACM48730.1	Scaffold04	37.647	170	88	5	1013	1174	2354307	2354786	9.06e-31	83.2
ACM48730.1	Scaffold04	30.409	171	92	2	868	1011	2353736	2354248	9.06e-31	72.0
ACM48730.1	Scaffold04	36.000	100	41	1	814	890	3464612	3464313	2.01e-30	60.8
ACM48730.1	Scaffold04	34.066	91	57	2	1030	1117	3463757	3463485	2.01e-30	58.2
ACM48730.1	Scaffold04	23.377	154	80	2	894	1009	3464239	3463778	2.01e-30	55.1
ACM48730.1	Scaffold04	38.000	100	39	1	940	1016	3464612	3464313	8.17e-30	63.9
ACM48730.1	Scaffold04	34.940	83	51	2	1122	1201	3463733	3463485	8.17e-30	61.2
ACM48730.1	Scaffold04	22.148	149	78	2	1020	1130	3464239	3463793	8.17e-30	46.6
ACM48730.1	Scaffold04	38.000	100	39	1	982	1058	3464612	3464313	1.80e-29	67.4
ACM48730.1	Scaffold04	32.530	83	53	2	1164	1243	3463733	3463485	1.80e-29	55.5
ACM48730.1	Scaffold04	23.239	142	70	3	1062	1164	3464239	3463814	1.80e-29	47.8
ACM48730.1	Scaffold04	30.409	171	79	2	1097	1227	2354307	2354819	7.48e-28	76.6
ACM48730.1	Scaffold04	30.178	169	91	2	949	1090	2353727	2354233	7.48e-28	68.6
ACM48730.1	Scaffold04	26.154	325	190	7	877	1183	1275733	1274855	6.27e-26	117
ACM48730.1	Scaffold04	31.792	173	116	1	887	1059	2354307	2354819	9.80e-26	87.0
ACM48730.1	Scaffold04	37.143	70	44	0	811	880	2354024	2354233	9.80e-26	50.8
ACM48730.1	Scaffold04	27.575	301	174	7	835	1099	1275733	1274855	1.89e-25	115
ACM48730.1	Scaffold04	24.769	432	254	10	871	1251	1276141	1274906	1.31e-23	109
ACM48730.1	Scaffold04	34.254	181	109	3	1021	1191	2950313	2949771	1.50e-23	109
ACM48730.1	Scaffold04	34.807	181	108	3	1105	1275	2950313	2949771	3.49e-22	105
ACM48730.1	Scaffold04	43.902	123	65	1	814	932	4516519	4516151	3.52e-22	105
ACM48730.1	Scaffold04	41.667	132	73	1	1141	1268	4516546	4516151	1.36e-21	103
ACM48730.1	Scaffold04	33.702	181	110	3	979	1149	2950313	2949771	1.56e-21	103
ACM48730.1	Scaffold04	40.909	132	74	1	931	1058	4516546	4516151	8.38e-21	100
ACM48730.1	Scaffold04	33.702	181	110	3	1063	1233	2950313	2949771	1.46e-20	99.8
ACM48730.1	Scaffold04	28.571	238	127	5	1129	1349	1275733	1275098	1.48e-20	99.8
ACM48730.1	Scaffold04	40.909	132	74	1	1057	1184	4516546	4516151	1.74e-20	99.8
ACM48730.1	Scaffold04	40.152	132	75	1	847	974	4516546	4516151	9.36e-20	97.1
ACM48730.1	Scaffold04	37.000	100	40	1	856	932	3464612	3464313	1.51e-18	65.1
ACM48730.1	Scaffold04	23.490	149	76	2	936	1046	3464239	3463793	1.51e-18	48.5
ACM48730.1	Scaffold04	36.301	146	87	2	1147	1286	2950313	2949876	1.45e-17	90.1
ACM48730.1	Scaffold04	38.636	132	77	1	973	1100	4516546	4516151	1.46e-17	90.1
ACM48730.1	Scaffold04	37.000	100	40	1	898	974	3464612	3464313	1.82e-17	64.7
ACM48730.1	Scaffold04	23.944	142	69	3	978	1080	3464239	3463814	1.82e-17	45.8
ACM48730.1	Scaffold04	36.000	100	41	1	1108	1184	3464612	3464313	2.83e-16	60.5
ACM48730.1	Scaffold04	24.031	129	60	3	1188	1278	3464239	3463853	2.83e-16	45.8
ACM48730.1	Scaffold04	37.903	124	73	1	1183	1302	4516546	4516175	3.31e-16	85.5
ACM48730.1	Scaffold04	31.214	173	117	1	845	1017	2354307	2354819	1.25e-15	83.6
ACM48730.1	Scaffold04	36.170	141	87	2	1003	1140	128262	127840	1.34e-15	83.6
ACM48730.1	Scaffold04	32.530	83	53	2	912	991	3463733	3463485	1.52e-15	54.7
ACM48730.1	Scaffold04	22.603	146	75	2	813	920	3464230	3463793	1.52e-15	48.9
ACM48730.1	Scaffold04	34.752	141	89	2	1087	1224	128262	127840	3.20e-14	79.0
ACM48730.1	Scaffold04	36.842	133	81	2	919	1048	128262	127864	5.43e-14	78.2
ACM48730.1	Scaffold04	34.043	141	90	2	877	1014	128262	127840	1.66e-13	76.6
ACM48730.1	Scaffold04	30.409	171	79	2	1139	1269	2354307	2354819	1.70e-13	76.6
ACM48730.1	Scaffold04	29.245	212	119	3	1117	1301	2353727	2354350	2.05e-13	76.3
ACM48730.1	Scaffold04	33.333	141	91	2	1045	1182	128262	127840	3.36e-13	75.5
ACM48730.1	Scaffold04	29.189	185	114	3	991	1174	2353727	2354233	4.15e-13	75.1
ACM48730.1	Scaffold04	24.476	286	171	7	1031	1290	1276129	1275329	4.29e-13	75.1
ACM48730.1	Scaffold04	34.545	165	100	4	814	975	2354340	2354819	4.59e-13	75.1
ACM48730.1	Scaffold04	29.319	191	116	5	1107	1278	128502	127930	8.99e-13	74.3
ACM48730.1	Scaffold04	40.541	111	61	4	898	1004	1348854	1348525	9.37e-13	73.9
ACM48730.1	Scaffold04	34.586	133	84	2	835	964	128262	127864	1.13e-12	73.9
ACM48730.1	Scaffold04	36.937	111	65	4	1150	1256	1348854	1348525	2.88e-12	66.6
ACM48730.1	Scaffold04	30.303	33	23	0	1110	1142	1349035	1348937	2.88e-12	24.6
ACM48730.1	Scaffold04	30.000	50	34	1	1255	1303	1348541	1348392	2.88e-12	20.4
ACM48730.1	Scaffold04	36.893	103	64	1	1189	1290	2950313	2950005	8.68e-12	70.9
ACM48730.1	Scaffold04	34.586	133	84	2	1129	1258	128262	127864	3.17e-11	68.9
ACM48730.1	Scaffold04	34.351	131	80	5	940	1066	1348854	1348468	3.50e-11	68.9
ACM48730.1	Scaffold04	34.351	131	80	5	1024	1150	1348854	1348468	3.94e-11	68.9
ACM48730.1	Scaffold04	28.649	185	107	5	808	973	1275391	1274855	4.90e-11	68.6
ACM48730.1	Scaffold04	37.234	94	59	0	829	922	2353952	2354233	1.09e-10	67.4
ACM48730.1	Scaffold04	35.115	131	79	5	1108	1234	1348854	1348468	1.76e-10	66.6
ACM48730.1	Scaffold04	34.351	131	80	5	814	940	1348854	1348468	2.03e-10	66.2
ACM48730.1	Scaffold04	38.889	108	61	4	1192	1295	1348854	1348534	2.48e-10	66.2
ACM48730.1	Scaffold04	33.613	119	76	2	815	930	128196	127840	3.62e-10	65.5
ACM48730.1	Scaffold04	37.000	100	40	1	1024	1100	3464612	3464313	7.20e-10	64.7
ACM48730.1	Scaffold04	37.000	100	40	1	1192	1268	3464612	3464313	9.42e-10	64.3
ACM48730.1	Scaffold04	28.378	74	53	0	1055	1128	4518471	4518250	7.00e-09	40.8
ACM48730.1	Scaffold04	35.443	79	46	3	982	1055	4518704	4518468	7.00e-09	40.0
ACM48730.1	Scaffold04	34.940	83	51	2	870	949	3463733	3463485	8.22e-09	61.2
ACM48730.1	Scaffold04	39.130	69	42	0	1223	1291	2354307	2354513	2.07e-08	59.7
ACM48730.1	Scaffold04	36.957	46	29	0	1097	1142	4518471	4518334	2.59e-08	43.1
ACM48730.1	Scaffold04	32.911	79	48	3	1024	1097	4518704	4518468	2.59e-08	35.8
ACM48730.1	Scaffold04	30.476	105	69	3	989	1092	3646293	3646598	5.19e-08	45.8
ACM48730.1	Scaffold04	38.000	50	30	1	903	951	3646096	3646245	5.19e-08	32.3
ACM48730.1	Scaffold04	28.378	74	53	0	1139	1212	4518471	4518250	5.66e-08	42.4
ACM48730.1	Scaffold04	32.911	79	48	3	1066	1139	4518704	4518468	5.66e-08	35.4
ACM48730.1	Scaffold04	29.703	101	67	3	905	1004	3646293	3646586	5.90e-08	40.4
ACM48730.1	Scaffold04	26.829	205	105	10	706	890	3645649	3646188	5.90e-08	37.4
